POA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
POA2612,0,0,0,0,0,199,7,5,4,0,0,0,0,0,7,211,35,0,0,0,0,0,0,0,0,0,38,25,0,0,0,0,0,0,0,0,0,29,5,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,75,1460,303,250,54,55,55,68,66,31,43,2384,723,352,552,206,263,215,249,94,36,38,2721,56,34,41,11,12,23,27,17,4,11,237,0,0,0,0,0,0,0,0,0,0,3,783,383,596,216,272,232,278,119,40,47,2958,0,0,0,0,0,0,0,0,0,4,8,2245,684,846,269,332,290,350,183,71,93,5356
POA2614,0,0,0,3,3,520,9,3,0,0,0,0,0,0,13,558,129,0,0,0,0,0,0,0,0,6,137,44,0,0,0,0,0,0,0,0,3,44,34,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,8,6,79,0,0,0,0,0,0,0,0,12,95,4,0,0,0,0,0,0,0,0,10,14,214,0,3,0,0,0,0,0,0,24,250,1780,196,162,25,36,43,50,9,10,43,2346,935,345,554,172,211,227,167,83,9,35,2757,133,50,49,16,12,16,58,7,3,12,354,0,3,0,0,0,0,0,0,0,3,13,1073,399,610,189,227,244,224,95,16,58,3121,4,0,10,0,0,0,0,0,0,15,25,2849,590,775,215,262,288,273,106,21,112,5491
POA2615,0,0,0,0,0,767,13,12,7,0,9,8,0,0,15,827,122,3,0,0,0,0,0,0,0,6,128,66,0,0,0,0,0,0,0,0,0,67,39,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,103,7,0,0,0,0,0,0,0,4,111,0,0,0,0,0,0,0,0,0,0,0,223,6,0,0,0,0,0,0,0,5,237,3150,391,372,57,55,67,49,25,9,77,4241,2180,1371,1155,294,297,260,217,80,26,77,5960,335,133,138,43,39,49,65,25,8,29,857,0,0,0,4,0,0,0,0,0,0,3,2517,1510,1292,343,336,303,280,108,34,108,6827,0,0,0,0,0,0,0,0,0,8,9,5664,1895,1661,399,388,373,333,136,40,192,11079
POA2617,0,0,0,0,0,588,8,13,3,3,0,3,0,0,14,628,89,0,0,0,0,0,0,0,0,3,99,72,0,0,0,0,0,0,0,0,4,77,47,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,121,4,0,0,0,0,0,0,0,5,127,3,0,0,0,0,0,0,0,0,0,3,216,5,0,0,0,0,0,0,0,8,228,2241,396,361,110,81,83,101,47,16,74,3517,2292,1202,1957,665,889,861,678,269,39,124,8971,298,93,167,39,85,87,97,31,13,29,935,4,0,7,0,0,0,0,0,0,0,18,2588,1302,2126,707,974,949,774,297,47,156,9924,6,0,0,0,0,0,0,0,0,14,32,4840,1698,2487,812,1060,1033,877,349,67,246,13469
POA2618,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,107,11,6,0,0,0,0,0,0,0,126,31,5,0,4,0,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,31,5,0,4,3,0,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,140,10,8,4,3,0,3,0,0,0,175
POA2900,0,0,0,0,0,72,0,0,0,0,0,0,0,0,3,80,21,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,337,56,52,10,8,7,6,0,0,12,495,159,121,218,78,56,51,34,13,0,10,747,12,7,11,0,0,7,8,0,0,0,50,0,0,3,0,0,0,0,0,0,0,0,177,129,227,78,59,60,37,13,3,18,800,0,0,0,0,0,0,0,0,0,0,7,517,181,278,85,73,71,49,19,3,24,1300
POA2902,0,0,0,0,0,333,8,5,0,0,0,0,0,0,4,348,39,0,0,0,0,0,0,0,0,4,42,14,0,0,0,0,0,0,0,0,3,14,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,7,74,1312,128,131,13,15,11,11,3,0,35,1660,591,260,295,53,58,75,31,17,0,22,1402,74,27,29,6,7,4,11,6,0,9,173,0,0,0,0,0,0,0,0,0,0,0,666,282,322,59,66,77,41,21,0,29,1572,0,3,0,0,0,0,0,0,0,3,0,1980,417,455,74,81,95,51,26,0,64,3235
POA2903,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,159,22,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,56,757,69,56,10,7,5,6,4,0,18,928,444,178,211,36,45,67,27,17,0,16,1035,54,13,5,3,5,3,18,6,0,0,108,0,0,0,0,0,0,0,0,0,0,0,498,190,219,41,48,73,46,18,0,18,1145,0,0,0,0,0,0,0,0,0,3,3,1252,259,273,53,53,79,51,24,3,33,2071
POA2904,0,0,0,0,0,285,0,0,0,0,0,0,0,0,9,303,58,0,0,0,0,0,0,0,0,11,72,23,0,0,0,0,0,0,0,0,6,27,16,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,16,56,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,24,127,1124,140,92,6,14,11,14,0,12,38,1461,734,251,231,34,40,38,29,13,4,17,1394,74,9,26,8,0,5,5,4,0,17,144,0,0,0,0,0,0,0,0,0,0,0,810,261,259,33,42,46,36,18,8,26,1538,0,0,0,0,0,0,0,0,0,4,4,1935,396,353,41,60,54,55,23,17,72,2999
POA2905,0,0,0,0,3,374,9,6,0,0,4,0,0,0,16,410,62,0,0,0,0,0,0,0,0,3,65,29,0,0,0,0,0,0,0,0,0,32,28,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,10,121,1949,184,168,32,20,24,19,17,6,54,2467,1316,563,601,102,92,95,69,17,7,39,2916,192,44,50,22,13,12,17,6,0,6,371,3,0,3,0,0,0,0,0,0,0,10,1507,611,657,128,107,106,94,26,15,50,3303,4,0,0,0,0,0,0,0,0,0,8,3459,794,826,158,124,128,111,46,21,105,5781
POA2906,0,0,0,0,0,245,9,4,0,0,0,0,0,0,4,263,55,3,0,0,0,0,0,0,0,0,60,16,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,82,1258,136,116,16,8,16,15,3,3,24,1584,924,333,299,58,74,36,42,5,5,21,1799,94,29,30,8,4,10,11,4,0,7,194,3,0,0,0,0,0,0,0,0,4,4,1021,366,326,64,79,43,53,11,3,33,1991,3,0,0,0,0,0,0,0,0,0,4,2278,503,441,81,88,58,62,8,12,57,3585
POA2911,0,0,0,0,0,37,6,5,0,0,0,0,4,0,0,48,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,234,42,60,19,0,8,9,4,0,3,379,451,362,231,54,65,35,32,20,4,17,1267,13,36,28,3,10,6,19,7,0,0,119,0,0,0,0,0,0,0,0,0,0,7,468,394,255,55,72,42,50,26,4,16,1387,0,0,0,0,0,0,0,0,0,0,0,700,442,315,68,77,54,53,26,10,26,1774
POA2912,0,0,0,0,0,54,9,0,0,5,0,4,3,0,0,79,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,345,95,99,18,20,33,7,16,5,11,651,650,444,709,250,302,260,209,80,10,34,2952,86,59,106,24,49,64,83,22,8,14,515,0,0,0,0,0,0,0,0,0,0,4,735,507,818,275,351,319,289,103,19,46,3469,0,0,0,0,0,0,0,0,0,7,7,1076,598,919,290,368,359,302,123,24,64,4127
POA2913,0,0,0,0,0,411,17,22,6,0,0,13,0,0,3,478,45,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,29,35,0,4,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,64,0,3,0,0,0,0,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,107,0,5,0,0,0,0,0,0,4,119,1983,429,390,79,57,56,70,20,7,58,3157,2934,2145,2088,439,544,491,378,104,32,104,9259,358,211,228,35,49,65,153,56,6,42,1212,3,0,9,0,4,0,5,0,0,4,25,3301,2357,2326,479,595,558,537,163,32,151,10492,0,6,3,0,0,0,0,0,0,15,28,5288,2797,2717,556,655,614,606,181,41,221,13682
POA2914,0,0,0,0,0,172,4,14,5,6,0,9,4,0,8,230,15,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0,0,0,0,0,3,42,1304,478,477,67,88,54,68,41,17,44,2630,2627,2607,2170,438,502,457,339,106,21,120,9386,220,212,202,45,70,65,106,58,9,59,1033,4,3,5,0,0,0,0,0,0,7,18,2852,2822,2376,484,570,521,445,166,31,180,10442,0,0,5,0,0,0,4,0,0,19,31,4159,3292,2856,555,660,581,516,203,41,246,13098
