POA_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
POA2612,369,1564,2422,1166,689,631,435,205,55,7530,3,10,50,29,37,27,20,6,0,184,3,23,65,42,59,75,30,27,8,332,3,0,9,6,8,3,7,7,10,49,0,0,8,5,6,6,7,11,9,54,0,0,3,0,5,0,5,0,0,14,62,191,206,96,75,51,36,16,3,737,440,1785,2754,1344,881,801,541,271,79,8901,212,1491,2393,1067,754,611,427,176,65,7203,7,14,31,16,27,25,14,22,4,154,6,14,35,17,30,71,62,54,30,326,0,0,10,0,0,9,13,21,10,63,0,0,0,5,5,3,15,16,16,60,0,0,3,0,0,4,5,0,0,16,29,99,124,58,24,16,33,22,12,424,256,1618,2605,1169,852,742,569,308,143,8256,583,3059,4813,2227,1448,1243,862,385,114,14731,4,23,86,49,63,48,35,27,6,343,8,30,100,59,93,149,92,83,38,658,4,6,17,6,7,10,20,26,17,111
POA2614,147,529,1209,1198,1091,767,615,450,143,6139,11,19,33,41,45,44,22,25,16,252,23,32,80,88,110,138,100,103,30,695,6,5,11,20,14,12,23,29,13,127,0,4,5,15,10,11,19,46,30,133,0,0,7,3,10,8,4,13,7,46,11,58,96,62,43,53,37,49,24,427,188,651,1440,1408,1321,1028,819,711,262,7828,132,511,1240,1340,1178,820,687,435,111,6464,9,24,32,25,25,42,35,34,19,249,14,22,56,49,82,137,212,202,84,859,0,5,10,5,4,16,42,51,28,167,0,0,0,5,12,20,46,67,52,200,0,0,6,3,3,3,9,10,3,40,13,20,78,55,39,40,49,60,54,417,180,585,1418,1481,1347,1089,1089,855,350,8388,279,1040,2451,2532,2270,1590,1305,881,252,12602,19,38,65,65,71,89,55,63,35,503,38,58,132,135,186,278,315,301,109,1557,6,11,15,24,22,27,68,79,41,290
POA2615,351,1072,2559,2985,2152,1339,1129,542,90,12229,56,67,171,193,173,122,85,31,5,900,103,116,353,331,508,551,404,194,44,2603,14,11,42,43,50,77,127,70,15,452,10,5,24,24,25,69,94,86,43,374,3,0,15,21,18,22,3,17,3,99,43,49,140,131,117,65,58,49,19,670,570,1336,3303,3727,3046,2245,1895,996,213,17329,324,1071,2893,3329,2317,1454,1098,424,78,12985,38,46,110,141,134,143,113,52,17,800,57,75,256,284,446,625,654,306,71,2774,10,9,28,36,56,88,184,86,34,546,4,0,15,29,35,72,109,121,46,426,4,4,11,16,26,29,20,29,15,148,38,42,119,108,82,66,93,50,18,605,479,1251,3431,3939,3097,2474,2270,1078,274,18280,671,2147,5452,6318,4470,2794,2223,967,163,25210,100,118,276,329,308,261,202,85,19,1700,166,191,610,617,953,1176,1052,500,119,5379,27,19,75,83,113,169,311,161,49,995
POA2617,379,1754,3957,2372,1466,1046,955,383,114,12433,30,62,118,83,63,62,50,23,9,508,59,78,188,145,211,257,256,106,28,1318,8,9,26,27,31,37,82,41,13,270,0,3,17,30,25,38,69,68,36,288,0,6,38,13,11,8,11,4,6,103,36,77,214,112,77,59,51,38,21,691,509,1997,4560,2777,1886,1507,1482,664,230,15609,487,2036,3825,2337,1503,1123,913,324,127,12679,18,31,60,58,60,81,62,40,11,425,23,40,113,108,175,333,414,212,78,1498,5,5,27,15,25,36,99,45,32,285,0,0,16,10,13,39,121,93,57,357,0,3,20,3,4,20,11,14,16,90,26,104,198,86,57,63,66,35,20,661,569,2221,4255,2625,1844,1689,1685,766,342,16002,868,3787,7785,4707,2975,2172,1871,708,239,25112,44,95,181,141,125,142,109,68,22,930,84,120,301,250,381,586,672,322,109,2819,13,18,52,41,52,69,185,83,45,557
POA2618,11,23,44,53,82,57,49,20,3,340,0,5,4,0,0,4,0,5,0,19,0,3,4,5,20,22,18,16,0,89,0,0,0,0,0,0,3,5,0,14,0,0,0,4,3,0,3,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,28,10,32,53,73,118,89,75,51,7,505,20,30,45,79,93,58,53,16,3,400,0,0,0,5,3,0,5,4,0,24,0,0,4,8,9,21,29,14,0,86,0,0,4,0,0,0,3,3,0,14,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,0,0,25,22,34,53,96,119,86,96,46,5,552,31,56,90,135,180,115,102,34,10,739,0,5,4,7,10,4,7,7,0,46,3,3,10,20,33,43,46,28,3,173,0,0,4,0,0,6,10,8,0,28
POA2900,10,127,453,256,145,107,108,80,20,1303,0,6,17,11,19,11,14,3,0,87,0,11,24,22,25,44,35,17,10,199,0,0,4,3,4,13,11,7,0,44,0,0,0,3,0,4,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,23,0,5,7,19,17,14,97,17,156,526,307,194,182,192,126,43,1747,22,158,455,246,162,137,104,57,17,1351,0,10,11,6,12,15,17,7,3,80,0,12,32,21,33,61,64,44,21,282,0,0,6,3,4,11,12,11,3,58,0,0,0,0,4,4,5,7,8,28,0,0,0,0,0,0,0,0,0,3,0,4,18,14,6,8,5,21,11,92,24,182,521,285,225,241,213,148,61,1898,32,283,907,506,305,246,208,138,35,2655,7,16,25,17,25,29,29,7,5,163,0,28,58,36,60,104,104,61,28,484,0,0,12,9,5,22,20,16,7,95
POA2902,118,373,741,813,753,572,546,230,49,4200,4,15,34,58,52,57,41,27,0,280,27,31,101,90,153,173,192,74,21,864,6,3,13,16,16,29,44,26,7,168,4,4,15,8,16,16,53,37,7,155,0,0,5,3,3,0,0,3,0,24,19,12,50,56,34,19,29,27,4,252,180,449,951,1041,1023,867,914,426,93,5944,109,340,735,906,834,585,565,196,25,4295,10,7,31,43,44,41,46,24,4,253,19,26,87,78,126,225,292,128,33,1011,0,0,9,17,15,27,88,29,6,203,0,7,7,6,6,24,58,48,13,164,0,0,0,0,9,3,4,5,0,27,15,7,32,38,43,22,52,26,12,251,153,388,905,1085,1078,928,1109,457,98,6196,229,715,1471,1721,1584,1161,1112,427,73,8492,15,30,65,101,92,95,90,43,7,533,45,60,185,167,282,396,485,200,49,1879,6,5,23,31,33,63,130,57,18,368
POA2903,70,205,507,523,441,372,340,118,20,2592,13,12,21,30,40,21,26,8,0,173,16,26,60,63,84,126,121,42,6,539,7,0,7,6,11,12,28,10,4,83,0,0,3,3,9,8,19,19,6,71,0,0,0,0,5,0,0,0,0,6,8,10,21,21,21,23,26,8,7,152,117,248,625,649,617,560,562,206,44,3620,51,207,479,596,441,396,321,74,17,2590,0,9,21,12,39,32,25,13,3,158,7,12,55,48,66,164,176,55,15,604,3,0,15,7,0,21,30,21,6,108,0,5,3,3,8,13,33,20,14,102,0,0,0,0,0,0,4,7,3,15,8,10,27,26,17,16,24,11,3,140,78,237,595,695,572,653,622,200,62,3720,121,414,986,1118,879,772,669,197,38,5186,16,17,43,42,78,53,55,22,5,330,33,34,109,113,152,289,294,94,22,1141,10,5,18,15,14,30,66,23,7,188
POA2904,106,296,594,720,574,582,499,155,50,3578,8,11,32,34,48,50,45,11,3,245,24,23,69,83,102,161,157,58,27,700,3,3,6,8,12,20,40,25,9,125,0,0,4,0,8,4,23,29,18,89,0,0,0,3,0,0,6,3,0,18,11,8,24,18,15,14,18,14,11,131,153,340,729,865,764,839,783,300,112,4889,89,268,608,798,656,658,441,130,63,3710,7,9,24,23,29,47,36,22,4,202,10,14,59,54,95,230,256,129,73,925,4,0,5,7,14,22,42,37,14,147,6,0,5,3,8,19,43,48,47,176,0,0,0,7,3,0,3,4,7,23,9,5,12,22,17,18,18,29,17,155,122,302,718,913,812,994,832,399,238,5336,195,565,1206,1519,1229,1240,945,287,113,7284,18,16,60,61,76,100,78,37,9,449,36,36,130,133,199,387,408,189,100,1628,3,4,12,18,23,46,80,67,27,270
POA2905,224,712,1499,1472,1167,1067,606,198,33,6975,37,56,101,98,107,125,73,23,5,621,69,118,281,251,379,532,327,82,36,2069,21,3,36,37,51,75,71,25,7,321,4,5,13,13,18,44,75,46,20,232,0,0,7,7,7,9,12,7,0,48,35,22,73,80,50,46,45,23,10,382,391,917,2016,1963,1774,1897,1193,402,110,10651,237,680,1684,1569,1382,1236,534,175,44,7544,27,30,94,88,100,132,65,18,5,568,50,70,220,193,347,594,399,165,58,2098,14,5,24,34,48,73,100,57,26,372,4,0,15,12,12,64,58,72,47,282,0,0,5,0,11,12,10,15,11,65,21,28,66,66,53,39,40,36,25,363,348,814,2108,1961,1952,2153,1199,532,205,11285,462,1386,3189,3043,2553,2309,1139,372,72,14519,66,87,200,185,208,262,136,39,12,1197,128,179,495,445,724,1125,719,254,93,4167,32,12,63,70,90,140,168,84,38,694
POA2906,166,505,883,843,870,689,306,116,27,4405,16,27,76,73,93,85,41,7,6,424,59,71,182,161,244,330,131,64,11,1260,10,9,21,22,30,39,39,28,12,205,3,0,7,6,11,21,33,28,9,119,0,0,0,9,13,6,3,5,0,31,9,14,39,35,36,35,26,23,15,237,260,635,1209,1141,1290,1207,583,269,83,6676,160,486,1009,1044,1011,692,259,87,30,4784,18,30,62,61,82,90,37,8,4,391,25,39,143,137,274,319,204,122,24,1277,5,4,25,17,32,38,68,44,9,242,0,5,7,6,7,23,34,45,16,147,0,0,0,4,4,6,10,8,9,42,13,17,36,37,25,21,32,30,25,235,228,574,1270,1305,1434,1194,647,342,124,7111,323,992,1887,1885,1880,1384,572,202,60,9187,33,58,133,131,173,177,78,11,8,809,86,111,325,298,519,647,330,184,40,2542,14,20,43,40,60,74,105,76,22,447
