POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA2612,0,4,15,32,14,7,15,13,0,97,0,0,0,3,0,9,3,4,11,25,0,0,47,71,11,15,4,0,0,143,8,15,84,259,23,17,14,0,4,427,0,3,10,43,6,4,3,6,0,71,0,0,4,40,4,3,0,0,0,58,0,0,4,3,0,5,0,0,0,13,0,0,0,21,11,3,3,0,0,35,0,0,0,18,7,10,10,7,4,61,0,0,11,24,10,8,0,0,0,54,3,5,24,112,16,5,5,4,0,176,0,0,0,0,4,0,0,4,0,7,0,4,47,80,17,21,4,6,0,175,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,9,0,0,3,13,0,0,0,4,0,17,0,0,23,51,0,0,0,0,0,76,0,0,0,10,7,0,7,9,7,39,0,6,47,122,39,23,22,7,5,274,0,0,0,9,3,3,0,0,0,21
POA2614,0,0,5,20,10,10,34,33,4,121,0,0,0,5,0,8,19,31,9,81,0,5,4,20,12,15,9,6,0,73,3,18,34,311,40,17,25,16,3,478,0,13,6,30,6,4,6,10,0,73,0,5,3,18,8,4,3,0,0,48,0,0,0,12,0,0,3,0,0,18,0,3,4,10,3,5,11,3,0,42,0,0,0,7,11,11,27,44,36,132,0,3,0,15,10,5,8,4,0,46,0,0,9,31,9,6,0,0,0,52,0,0,0,0,4,0,0,3,0,10,0,0,3,32,14,23,16,11,0,98,0,0,0,0,0,0,5,4,0,14,0,0,4,3,0,0,0,0,0,8,0,0,0,11,7,3,0,0,0,19,0,3,43,168,0,0,0,0,0,220,0,4,0,6,3,8,9,21,9,60,0,8,18,45,38,38,33,23,7,211,0,0,0,4,0,8,0,4,0,12
POA2615,0,4,10,44,32,37,82,48,12,270,0,0,0,6,9,17,31,37,14,102,0,6,0,47,7,17,22,3,3,111,9,50,97,784,122,56,43,23,4,1191,0,4,7,36,28,15,16,5,3,114,0,4,6,38,7,6,4,5,0,67,0,3,15,48,14,7,5,0,0,93,0,6,3,31,11,18,11,21,0,108,0,0,5,14,18,27,45,54,15,183,0,9,4,23,18,5,5,0,3,74,3,3,8,44,11,5,5,0,0,84,0,0,3,14,10,4,7,0,0,41,0,3,5,57,37,46,28,8,6,183,0,0,0,4,0,3,16,0,0,21,0,0,6,20,8,4,0,0,0,44,0,0,5,35,15,9,3,0,0,78,0,0,57,223,4,0,0,0,0,288,0,5,0,11,6,9,36,35,5,106,5,37,32,177,74,75,63,20,4,489,0,0,0,7,6,10,13,3,0,31
POA2617,4,0,9,41,17,17,49,34,5,174,0,0,0,5,5,10,39,37,21,120,0,0,43,100,22,26,17,6,0,220,11,60,205,966,110,62,42,21,3,1482,3,20,34,62,16,11,7,0,0,166,0,9,11,129,15,5,3,0,0,169,0,0,6,20,0,3,0,0,0,35,0,0,3,21,6,4,11,8,3,58,0,5,7,31,14,28,78,52,18,235,0,4,3,36,10,5,4,0,0,74,0,7,29,221,27,19,13,3,0,316,0,3,3,13,7,5,12,3,0,52,0,3,49,112,36,35,30,21,5,290,0,0,0,0,6,0,6,0,0,18,0,0,0,20,11,5,0,0,0,31,0,0,18,18,5,5,6,0,0,56,0,6,199,695,3,0,5,0,0,916,0,4,8,13,9,7,24,15,0,84,0,24,59,135,56,41,44,16,7,384,0,0,0,7,3,4,22,4,5,45
POA2618,0,0,0,0,0,0,3,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
POA2900,0,0,3,4,0,4,6,3,0,20,0,0,0,8,0,0,0,0,0,7,0,0,0,6,4,7,8,0,0,31,7,18,11,216,15,3,9,0,0,279,0,0,0,3,0,4,0,0,0,13,0,0,0,4,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,8,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,27,0,3,0,0,0,32,0,0,0,7,0,6,0,0,0,6,0,0,10,3,7,3,4,0,0,22,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,12,110,0,0,0,0,0,123,0,0,0,0,0,0,4,4,0,12,0,0,7,18,6,10,6,0,0,47,0,0,0,3,0,0,0,0,0,0
POA2902,0,7,0,3,7,15,33,32,0,98,0,0,0,0,0,3,8,10,5,29,0,0,0,7,0,4,3,3,0,29,5,17,38,167,47,22,13,5,0,314,0,0,10,5,5,3,4,4,0,37,0,0,5,7,0,0,0,0,0,17,0,3,0,0,6,0,0,3,0,13,0,0,4,3,5,0,3,5,0,27,0,0,0,0,4,4,32,10,0,57,0,4,0,12,6,3,3,0,0,31,0,0,3,15,6,0,0,4,0,31,0,0,0,8,0,0,3,0,0,17,3,0,3,10,12,26,9,5,0,72,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,7,3,0,0,0,0,13,0,0,16,88,0,0,0,0,0,107,0,0,3,0,6,3,20,3,0,40,0,13,5,46,37,30,28,11,0,169,0,0,0,0,0,4,0,0,0,9
POA2903,0,0,0,3,0,9,21,8,3,44,0,0,0,0,0,0,9,7,0,29,0,0,0,9,5,9,4,0,0,22,0,26,21,150,35,18,16,4,5,280,0,0,0,5,3,3,7,0,0,25,0,0,0,3,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,6,0,3,0,6,3,3,7,0,0,17,0,0,0,0,5,7,22,15,7,56,0,3,0,9,4,4,5,0,0,16,0,0,8,10,4,0,0,0,0,30,0,0,0,3,0,4,4,0,0,13,0,0,0,7,3,8,17,4,0,38,0,0,0,0,0,0,0,4,0,3,0,3,0,3,0,5,0,0,0,6,0,0,7,0,3,0,0,3,0,18,0,5,15,64,4,0,0,0,0,80,0,0,0,4,6,3,15,3,0,25,0,0,11,25,23,14,13,4,0,93,0,0,0,0,0,0,0,0,0,6
POA2904,0,0,0,5,8,8,30,18,11,74,0,0,0,0,0,5,12,14,5,32,0,0,0,10,5,7,15,0,0,29,0,21,19,154,28,36,15,11,6,295,0,0,0,4,3,0,3,4,0,14,0,0,4,5,11,3,0,0,0,21,0,0,7,10,12,6,3,0,0,37,0,7,0,15,6,5,9,4,5,48,0,0,0,0,0,16,25,9,4,53,0,0,7,0,9,0,0,0,0,19,0,4,7,3,0,6,3,0,0,23,0,0,0,7,11,12,10,3,3,49,0,0,0,10,13,20,14,3,0,57,0,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,35,0,0,0,0,0,38,0,0,0,0,0,3,19,12,0,41,0,10,8,29,27,28,25,12,0,131,0,6,0,4,0,6,5,0,0,14
POA2905,0,3,3,19,10,21,30,21,3,121,0,0,0,0,6,8,10,10,4,33,0,0,6,8,6,15,8,0,0,42,5,64,66,392,102,42,38,11,6,713,0,0,0,12,6,6,8,0,0,34,0,0,6,5,6,4,5,0,0,31,0,12,16,42,23,15,3,0,0,117,0,8,4,10,4,15,10,7,0,44,0,4,0,10,3,26,12,9,7,74,0,0,0,3,0,5,0,0,0,12,0,3,0,9,5,4,0,0,0,27,0,0,4,16,23,20,16,0,0,88,0,5,3,23,19,28,31,6,5,121,0,0,4,6,0,6,14,11,0,35,0,0,0,8,5,3,0,0,0,16,0,0,0,7,3,5,3,0,0,22,0,0,14,98,0,0,0,0,0,115,0,0,0,5,0,11,24,12,7,63,0,7,21,90,55,80,46,8,0,306,0,0,0,4,0,8,4,0,0,21
POA2906,0,0,0,4,10,19,8,23,6,69,0,0,0,3,6,3,11,6,0,25,0,0,3,8,6,16,5,3,0,44,8,33,25,237,55,37,13,6,0,415,0,3,0,9,0,0,5,0,0,18,0,0,5,9,6,6,3,3,0,32,0,5,3,26,4,10,8,0,0,63,0,4,0,3,9,6,4,0,0,26,0,0,0,0,0,11,14,10,6,37,0,0,0,3,0,0,0,0,0,6,0,0,0,4,5,0,0,0,0,10,0,0,0,5,6,5,6,0,0,25,0,0,0,21,11,24,12,5,0,68,0,0,0,0,0,5,5,0,0,11,0,0,4,3,0,4,0,0,0,14,0,0,0,0,3,3,3,0,0,12,0,0,18,48,0,4,0,0,0,73,0,0,0,0,0,11,8,11,9,43,3,15,25,49,55,42,14,5,0,201,0,0,3,4,3,3,0,0,0,19
POA2911,0,0,0,0,8,0,0,5,3,12,0,0,0,0,0,0,0,0,0,3,0,0,0,16,5,0,7,0,0,34,4,11,23,204,47,12,11,4,0,311,0,0,0,6,3,0,0,0,0,9,0,0,0,7,6,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,4,0,3,0,11,0,0,0,0,0,7,4,0,0,16,0,0,4,6,0,0,0,0,0,10,0,0,0,25,7,0,0,0,0,40,0,0,0,3,0,0,0,0,0,9,0,4,0,15,6,5,3,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,11,0,0,4,22,4,0,0,0,0,37,0,0,0,0,0,0,0,0,6,12,0,3,3,18,6,4,3,0,0,47,0,0,0,0,0,0,0,0,0,3
