POA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
POA2612,15,502,66,580,39,1549,201,1785,100,2435,216,2756,99,1156,90,1344,115,684,81,883,127,623,49,800,70,441,31,541,44,209,14,268,8,64,5,79,619,7666,762,9043,20,352,34,408,66,1447,106,1618,115,2358,128,2601,112,999,64,1169,132,690,25,852,188,538,24,743,94,449,32,569,54,238,18,308,14,118,13,143,787,7179,445,8409,33,856,103,990,107,2998,308,3406,210,4795,348,5359,214,2154,155,2514,249,1382,106,1731,315,1156,72,1544,166,887,66,1112,90,449,39,581,22,182,22,220,1404,14852,1208,17460
POA2614,26,504,13,541,38,551,59,651,87,1254,100,1440,142,1205,62,1408,214,1059,46,1322,215,766,49,1029,119,662,39,819,113,564,39,713,32,209,29,262,980,6766,432,8181,36,487,22,544,40,523,21,585,98,1245,81,1426,195,1228,57,1484,314,993,42,1347,283,772,39,1089,211,835,43,1089,126,674,53,855,34,268,55,350,1342,7010,408,8759,60,993,37,1085,76,1071,86,1236,186,2502,180,2865,334,2432,121,2893,525,2048,89,2664,500,1535,85,2117,333,1491,78,1905,240,1239,91,1569,63,471,77,610,2321,13777,840,16948
POA2615,81,1296,50,1432,78,1188,62,1337,233,2906,162,3302,403,3186,139,3733,480,2445,125,3046,368,1813,66,2245,289,1561,45,1895,173,786,32,996,27,176,5,213,2133,15363,699,18196,85,1154,52,1290,101,1101,53,1254,359,2932,139,3431,628,3191,118,3939,672,2338,98,3098,567,1839,74,2477,420,1776,68,2270,167,886,28,1078,22,237,12,274,3022,15447,638,19104,168,2455,97,2720,175,2289,115,2589,594,5837,306,6734,1034,6374,260,7672,1151,4777,217,6151,931,3652,136,4718,708,3337,120,4169,341,1670,64,2072,54,412,21,481,5154,30806,1338,37301
POA2617,65,882,47,996,88,1815,96,1998,221,4116,228,4563,257,2396,133,2780,276,1531,82,1889,244,1201,58,1507,220,1218,52,1484,91,544,24,665,24,190,11,230,1494,13889,732,16114,53,879,41,974,97,2000,133,2225,252,3792,217,4257,303,2224,99,2624,378,1404,62,1844,387,1238,64,1695,327,1303,58,1689,111,629,27,767,25,302,18,341,1928,13772,715,16413,117,1765,90,1962,187,3819,227,4230,475,7905,443,8820,558,4616,230,5406,652,2940,144,3736,634,2442,124,3197,546,2522,108,3168,204,1171,53,1432,48,496,31,577,3424,27662,1444,32527
POA2618,0,48,0,47,4,26,0,32,3,51,0,53,8,59,3,73,16,95,8,118,11,73,3,89,10,58,4,75,7,38,3,51,3,5,0,7,63,463,21,549,4,54,3,59,4,27,0,34,4,48,3,53,14,78,3,96,29,86,7,119,25,61,0,84,26,68,4,96,9,30,0,46,3,6,0,5,111,460,21,592,5,101,3,108,4,54,0,66,8,97,6,108,17,144,9,170,45,175,12,239,33,138,9,173,34,130,6,175,16,75,3,94,5,9,0,18,174,919,45,1140
POA2900,0,58,0,54,9,136,12,162,32,469,30,526,21,269,7,307,20,174,3,194,31,148,7,182,27,155,15,192,16,93,20,126,6,33,11,43,163,1529,102,1794,6,48,0,49,13,163,6,182,35,469,20,521,30,243,10,285,48,171,6,225,50,179,8,241,39,164,11,213,20,103,22,148,3,47,11,61,248,1594,92,1932,4,103,4,109,23,300,15,345,68,940,49,1051,56,515,18,590,69,337,13,419,78,324,19,419,66,319,22,408,41,200,36,272,9,74,22,105,407,3119,196,3720
POA2902,33,427,25,483,29,402,16,444,66,827,54,950,107,871,56,1041,171,813,39,1024,159,694,22,867,133,753,29,914,71,343,15,436,16,72,7,93,783,5208,266,6256,28,384,19,429,34,341,13,388,107,769,29,905,184,858,41,1086,229,801,46,1078,245,657,22,928,225,835,44,1109,63,373,18,457,9,74,14,98,1123,5094,250,6465,57,814,46,913,62,750,24,837,175,1600,85,1855,291,1729,104,2131,400,1615,87,2100,400,1355,41,1798,360,1588,71,2020,136,718,35,887,21,143,24,191,1907,10306,513,12729
POA2903,18,285,13,317,17,220,10,248,56,547,24,625,96,532,25,649,98,490,26,617,100,431,25,560,66,468,24,562,29,167,5,206,7,35,0,44,483,3178,164,3822,11,200,13,226,23,208,12,237,56,508,29,595,114,557,25,695,133,424,17,572,168,468,20,653,129,480,16,622,35,159,11,200,9,55,0,62,672,3057,137,3868,28,487,28,546,41,429,26,487,114,1056,49,1215,208,1087,44,1338,229,911,50,1185,269,901,50,1218,198,944,39,1186,64,322,20,404,14,91,6,106,1157,6235,302,7688
POA2904,16,340,9,362,23,317,8,340,52,651,29,729,78,766,20,865,131,610,19,764,162,659,16,839,101,665,18,783,40,238,23,300,21,65,25,112,632,4301,164,5098,24,320,12,350,33,255,10,302,71,624,25,718,149,737,27,913,158,640,15,816,259,708,23,999,163,648,18,832,39,323,44,399,12,162,66,238,907,4423,232,5566,43,654,16,714,50,577,18,640,124,1273,50,1451,226,1508,44,1773,291,1252,31,1577,423,1371,43,1837,267,1315,38,1615,77,557,68,701,34,227,91,349,1542,8728,398,10667
POA2905,45,859,43,947,59,826,27,917,140,1798,78,2015,205,1673,83,1965,256,1460,64,1776,330,1511,56,1897,193,973,34,1195,69,315,19,402,14,93,6,110,1302,9506,413,11220,43,761,28,833,55,730,33,814,192,1838,78,2108,323,1562,76,1961,395,1498,61,1952,536,1581,38,2158,222,957,26,1205,72,426,38,533,8,180,19,205,1861,9524,388,11769,88,1616,67,1777,115,1553,64,1732,335,3630,159,4123,524,3235,165,3918,651,2953,122,3731,869,3093,92,4058,412,1924,60,2396,141,747,49,931,19,277,24,319,3158,19034,804,22996
POA2906,26,550,17,594,35,581,19,635,83,1079,48,1215,120,976,46,1141,178,1064,48,1295,212,966,29,1207,76,482,19,583,27,226,20,269,17,56,12,83,776,5994,247,7016,34,523,16,570,51,503,23,574,135,1098,37,1276,201,1063,47,1305,320,1080,34,1434,295,883,15,1195,106,512,25,649,44,274,26,342,4,99,21,124,1182,6032,244,7462,55,1072,31,1161,86,1086,42,1206,220,2181,82,2484,319,2045,87,2449,499,2150,77,2724,502,1851,39,2405,187,996,47,1231,68,500,47,610,14,151,35,208,1957,12026,491,14472
POA2911,0,101,4,108,3,106,7,116,17,375,17,407,36,469,9,515,39,250,4,298,22,118,4,142,11,82,3,97,12,42,3,49,0,11,0,18,146,1553,49,1743,5,89,3,103,7,109,0,123,18,409,28,456,61,476,14,547,43,204,6,254,25,109,3,139,14,113,3,126,12,75,5,88,0,17,0,27,193,1610,60,1865,13,197,8,208,15,217,8,241,35,787,38,861,88,945,22,1060,84,461,11,555,53,230,8,284,23,190,5,218,18,110,8,140,3,31,0,38,340,3161,117,3612
POA2912,9,183,20,213,16,370,17,404,53,1111,53,1225,65,613,41,719,57,439,23,522,37,267,11,315,13,137,5,157,6,49,10,67,0,13,0,13,265,3189,182,3634,5,221,7,233,22,369,24,416,62,1038,60,1160,79,583,36,694,70,387,20,473,59,240,8,310,32,171,3,201,14,65,10,82,0,18,0,19,341,3090,163,3589,19,399,31,448,35,735,40,812,121,2154,117,2390,144,1202,74,1415,122,824,45,996,103,513,19,632,42,305,14,357,16,117,12,148,3,28,0,33,602,6281,350,7224
POA2913,43,1002,48,1086,66,1207,69,1337,184,3080,193,3462,326,3004,147,3470,307,2050,80,2429,252,1404,59,1708,126,923,29,1078,65,411,18,498,8,85,9,101,1388,13155,634,15178,60,966,21,1049,75,1126,49,1242,279,3200,160,3633,450,2873,116,3445,449,2021,72,2541,362,1430,42,1839,220,1030,52,1302,73,463,19,561,11,111,10,126,1968,13224,542,15740,101,1965,70,2131,134,2331,119,2583,465,6278,353,7091,778,5882,260,6922,758,4068,148,4975,622,2834,100,3547,346,1951,80,2376,138,878,43,1055,14,200,17,226,3359,26377,1182,30911
POA2914,46,990,36,1073,53,944,56,1054,143,2581,188,2912,317,3016,152,3483,290,1997,74,2370,127,826,30,980,67,433,23,521,26,165,4,199,3,32,0,38,1078,10978,569,12628,45,977,43,1065,69,932,60,1058,224,2643,154,3020,457,2988,124,3574,377,1751,65,2198,166,831,24,1018,107,487,27,613,35,187,12,234,3,33,0,38,1483,10825,508,12821,92,1969,83,2138,121,1872,118,2111,367,5228,342,5932,782,6004,270,7059,669,3754,145,4566,287,1658,59,2007,169,921,47,1136,60,346,12,431,12,64,0,72,2564,21808,1079,25448
