POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2612,3,0,163,5,30,5,0,30,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,5,0,30,0,37,0,0,0,0,0,0,0,164,35,5,0,35,0,205,76,0,0,0,0,0,77,3,12,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,13,0,15,0,0,0,0,0,0,0,81,11,0,0,10,0,92,34,0,0,0,0,0,34,3,14,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,9,0,14,0,0,0,0,0,0,0,34,13,0,0,9,0,44,1073,51,0,0,51,0,1124,96,317,16,0,330,0,428,0,12,3,0,14,0,19,0,0,0,0,0,0,0,99,327,23,0,350,0,449,0,0,0,0,0,0,0,1175,378,23,0,399,0,1573
POA2614,11,0,417,16,56,7,0,60,0,78,3,4,4,0,7,0,6,0,0,0,0,0,0,0,18,57,5,0,63,0,84,0,0,0,0,0,0,0,423,67,5,0,74,0,498,116,3,0,0,3,0,120,4,29,0,0,29,0,34,0,0,6,0,9,0,9,0,0,0,0,0,0,0,4,29,6,0,34,0,35,0,0,0,0,0,0,0,122,33,6,0,41,0,161,65,3,0,0,3,0,71,3,9,0,0,9,0,9,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,8,0,0,8,0,11,0,0,0,0,0,0,0,68,17,0,0,17,0,83,2640,105,7,0,112,4,2754,140,657,23,0,681,0,825,3,46,18,0,70,0,73,0,0,0,0,0,0,0,140,705,40,0,753,0,894,0,5,0,0,5,0,3,2790,817,47,0,867,6,3657
POA2615,18,0,825,39,158,9,0,170,0,202,0,13,12,0,34,0,33,0,0,0,0,0,0,0,40,180,20,0,204,0,237,0,0,0,0,0,0,0,851,198,20,0,219,0,1070,268,7,0,0,7,0,279,13,94,6,0,94,0,114,0,5,5,0,13,0,13,0,0,0,0,0,0,0,13,93,11,0,106,0,121,0,0,0,0,0,0,0,287,99,11,0,117,0,396,98,0,0,0,0,0,98,6,50,3,0,56,0,60,0,0,3,0,4,0,4,0,0,0,0,0,0,0,6,51,12,0,55,0,70,0,3,0,0,3,0,3,105,55,12,0,65,0,168,6659,238,0,0,238,3,6900,413,1899,60,3,1959,0,2373,10,126,95,0,221,0,232,0,10,0,0,10,0,9,427,2036,149,3,2184,0,2615,3,3,0,0,3,4,17,7094,2280,149,3,2432,6,9535
POA2617,11,0,386,22,112,4,0,114,0,141,0,9,3,0,15,0,14,0,0,0,0,0,0,0,29,117,8,0,130,0,156,0,0,0,0,0,0,0,399,132,8,0,143,0,542,159,3,0,0,3,0,165,15,67,3,0,70,0,84,0,3,3,0,11,0,8,0,0,0,0,0,0,0,12,73,9,0,76,0,93,0,0,0,0,0,0,0,174,79,9,0,84,0,260,68,0,0,0,0,0,68,8,31,0,0,34,0,40,0,0,4,0,9,0,9,0,0,0,0,0,0,0,8,32,7,0,39,0,48,0,0,0,0,0,0,0,82,32,7,0,39,0,115,3220,152,0,0,154,5,3379,262,1492,49,0,1545,0,1805,9,71,33,0,107,0,113,0,0,4,0,4,0,4,270,1563,89,0,1654,0,1923,0,0,0,0,0,0,0,3489,1711,94,0,1806,10,5305
POA2618,0,0,54,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,50,4,0,0,4,0,59,18,5,0,0,5,0,19,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,18,5,0,0,5,0,21,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,285,8,0,0,8,0,295,7,22,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,22,0,23,0,0,0,0,0,0,0,292,25,0,0,25,0,321
POA2900,0,0,22,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,22,3,0,0,3,0,28,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,162,7,0,0,7,0,168,17,158,0,0,158,0,180,0,0,0,0,0,0,9,0,0,0,0,0,0,0,21,170,0,0,170,0,188,0,0,0,0,0,0,0,177,171,0,0,171,0,350
POA2902,5,0,315,13,25,5,0,28,0,43,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,28,5,0,33,0,46,0,0,0,0,0,0,0,315,32,5,0,38,0,359,116,10,0,0,10,0,120,3,29,5,0,35,0,40,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,34,5,0,34,0,38,0,0,0,0,0,0,0,117,41,5,0,41,0,156,61,0,0,0,0,0,67,3,10,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,10,0,9,0,0,0,0,0,0,0,67,12,0,0,12,0,77,2200,69,0,0,69,0,2269,115,366,33,0,401,0,509,0,27,4,0,31,0,31,0,0,0,0,0,0,0,115,390,36,0,425,0,540,0,9,0,0,9,0,7,2310,468,36,0,503,0,2821
POA2903,5,0,171,10,22,0,0,22,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,27,0,37,0,0,0,0,0,0,0,173,33,0,0,33,0,205,57,0,0,0,0,0,62,5,19,0,0,19,0,22,0,6,0,0,6,0,6,0,0,0,0,0,0,0,5,18,0,0,18,0,27,0,0,0,0,0,0,0,68,21,0,0,21,0,87,31,0,0,0,0,0,31,0,14,0,0,14,0,13,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,13,0,0,13,0,17,0,0,0,0,0,0,0,34,13,0,0,13,0,45,1363,45,0,0,45,0,1415,92,310,4,0,318,0,412,0,15,0,0,21,0,19,0,0,0,0,0,0,0,93,328,9,0,340,0,431,0,0,0,0,0,0,0,1463,377,9,0,389,0,1851
POA2904,9,0,246,12,50,6,0,54,0,67,0,3,0,0,3,0,3,0,0,0,0,0,0,0,12,57,6,0,59,0,69,0,0,0,0,0,0,0,248,65,6,0,68,0,315,87,0,0,0,0,0,87,9,29,0,0,30,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,5,0,31,0,41,0,0,0,0,0,0,0,97,32,5,0,31,0,135,59,0,0,0,0,0,61,3,19,4,0,29,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,4,0,25,0,31,0,0,0,0,0,0,0,62,24,4,0,30,0,96,1970,61,0,0,61,6,2038,111,462,15,0,470,0,583,0,21,6,0,19,0,19,0,0,0,0,0,0,0,111,477,19,0,493,0,606,0,5,0,0,5,0,5,2078,546,19,0,562,6,2643
POA2905,21,0,517,31,113,8,0,126,0,154,0,9,6,0,8,0,12,0,0,0,0,0,0,0,30,118,15,0,134,0,162,0,0,0,0,0,0,0,533,137,15,0,156,0,683,154,3,0,0,3,0,165,7,70,3,0,80,0,87,0,5,4,0,4,0,7,0,0,0,0,0,0,0,13,72,11,0,85,0,97,0,0,0,0,0,0,0,169,82,11,0,86,0,258,84,0,0,0,0,0,88,5,17,9,0,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,9,0,25,0,29,5,0,0,0,0,0,5,92,18,9,0,23,0,118,3926,141,0,0,141,9,4075,205,997,50,8,1046,0,1252,7,47,29,4,74,0,80,0,0,0,0,0,0,0,217,1040,76,8,1123,0,1337,5,0,0,0,0,0,6,4146,1183,76,8,1264,9,5417
POA2906,13,0,369,11,66,6,0,66,0,79,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,63,5,0,72,0,82,0,0,0,0,0,0,0,364,77,5,0,82,0,451,131,5,0,0,5,0,136,3,39,3,0,40,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,3,0,43,0,49,0,0,0,0,0,0,0,137,44,3,0,44,0,182,71,0,0,0,0,0,70,0,17,4,0,19,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,21,3,0,27,0,24,0,0,0,0,0,0,0,77,20,3,0,29,0,99,2636,78,3,0,82,0,2720,137,576,27,0,609,0,743,0,19,8,0,26,0,30,0,0,0,0,0,0,0,141,596,38,0,636,0,779,0,0,0,0,0,5,5,2774,677,41,0,724,3,3502
POA2911,5,0,42,5,42,5,0,43,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,5,0,49,0,49,0,0,0,0,0,0,0,45,43,5,0,47,0,95,12,0,0,0,0,0,12,0,40,0,0,41,0,40,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,36,0,0,40,0,44,0,0,0,0,0,0,0,17,36,0,0,40,0,56,4,0,0,0,0,0,4,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,14,0,0,0,0,0,0,0,4,10,0,0,14,0,18,542,22,0,0,22,0,562,59,534,12,0,545,0,611,0,21,3,0,23,0,23,0,0,0,0,0,0,0,59,561,11,0,573,0,637,0,5,0,0,5,0,4,604,581,11,0,596,0,1196
POA2912,0,0,98,3,59,4,0,57,0,64,0,10,5,0,14,0,14,0,0,0,0,0,0,0,3,70,6,0,75,0,78,0,0,0,0,0,0,0,103,70,6,0,75,0,176,30,0,0,0,0,0,32,3,38,3,0,38,0,42,0,4,3,0,5,0,5,0,0,0,0,0,0,0,3,35,8,0,45,0,47,0,0,0,0,0,0,0,32,39,8,0,41,0,79,12,0,0,0,0,0,12,0,10,0,0,12,0,12,0,0,3,0,7,0,7,0,0,0,0,0,0,0,0,14,3,0,17,0,17,0,0,0,0,0,0,0,12,14,3,0,17,0,31,569,18,0,0,22,0,589,80,592,26,0,625,0,701,0,61,27,0,95,0,95,0,0,0,0,0,0,0,80,657,59,0,716,0,795,0,3,0,0,3,0,0,644,678,57,0,741,0,1386
POA2913,26,0,550,36,287,16,0,298,0,335,0,17,9,0,29,0,25,0,0,0,0,0,0,0,37,297,23,0,319,0,360,0,0,0,0,0,0,0,556,325,24,0,348,0,916,240,7,0,0,13,0,253,17,177,11,0,183,0,198,0,7,3,0,11,0,11,0,0,0,0,0,0,0,17,185,9,0,198,0,215,0,0,0,0,0,0,0,259,192,8,0,209,0,465,100,0,0,0,0,0,100,0,84,0,0,84,0,90,0,3,9,0,14,0,14,0,0,0,0,0,0,0,0,84,12,0,98,0,99,0,0,0,0,0,0,0,106,84,12,0,98,0,203,4296,238,4,0,246,3,4543,383,3240,98,5,3342,4,3725,7,159,107,0,262,0,270,0,0,0,0,0,0,0,391,3400,203,3,3609,4,3999,0,3,0,0,3,0,9,4684,3643,205,3,3857,11,8544
POA2914,27,0,600,36,319,16,0,331,0,365,0,16,12,0,34,0,34,0,0,0,0,0,0,0,36,335,31,0,365,0,400,0,0,0,0,0,0,0,607,360,31,0,394,0,1006,195,12,0,0,12,0,203,14,187,10,0,194,0,208,0,5,9,0,19,0,19,0,0,0,0,0,0,0,14,195,16,0,212,0,225,0,0,0,0,0,0,0,209,203,16,0,219,0,430,76,4,0,0,4,0,81,6,85,5,0,93,0,100,0,5,8,0,13,0,13,0,0,0,0,0,0,0,6,93,14,0,102,0,115,0,0,0,0,0,0,0,78,94,14,0,108,0,193,4284,239,0,5,240,0,4528,344,3897,111,11,4020,0,4364,5,233,101,4,337,0,341,0,6,0,0,3,0,3,346,4136,211,9,4356,0,4713,7,5,0,0,5,0,10,4644,4379,211,14,4601,5,9248
