POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2612,170,239,407,571,604,1169,0,0,0,77,60,145,0,0,0,1375,1404,2777,7,0,3,99,113,221,4,3,11,8,3,10,38,38,71,6,7,22,46,55,100,29,35,66,113,99,213,0,3,5,13,8,18,119,141,263,120,161,285,3,8,12,2635,2760,5390,234,211,446,167,146,307,38,48,91,0,0,0,33,24,54,31,33,63,62,55,119,5426,5024,10453,101,53,158,13,22,38,5544,5104,10644,963,600,1564,9810,9154,18965
POA2614,267,323,591,735,1046,1777,0,0,0,91,103,197,0,0,0,1519,1786,3307,4,6,13,139,149,288,12,22,32,16,10,22,49,55,102,8,12,21,52,64,112,57,66,123,115,156,272,12,17,26,7,8,16,176,277,457,208,221,431,7,18,22,3209,4007,7212,336,268,602,290,243,530,11,21,25,0,0,0,46,31,83,33,45,83,87,79,167,5089,4957,10049,75,51,130,21,16,36,5188,5030,10218,664,580,1246,10048,10545,20595
POA2615,468,646,1112,2010,2300,4308,0,0,0,267,278,547,0,5,3,4639,5400,10036,11,25,42,318,320,641,49,77,122,65,64,130,116,141,259,21,18,39,122,135,254,313,379,688,309,350,657,21,28,50,45,62,104,432,549,976,561,660,1222,26,20,48,9327,10809,20133,657,626,1281,736,709,1440,7,15,26,0,3,5,265,229,493,77,121,199,344,355,701,10603,9634,20235,98,76,174,36,47,75,10729,9750,20486,1143,1026,2172,23423,23932,47356
POA2617,598,727,1325,1143,1381,2528,0,0,0,177,197,373,0,0,3,3124,3573,6697,8,13,21,298,321,622,22,32,60,39,37,81,49,89,143,24,15,42,159,173,330,161,211,374,234,275,508,10,15,25,40,34,77,276,399,674,441,539,980,16,20,36,6236,7334,13564,1136,965,2103,713,562,1274,23,22,46,0,0,3,150,143,289,73,77,143,219,219,440,8848,8058,16908,129,98,226,28,59,85,9003,8213,17220,1120,989,2108,19049,19026,38073
POA2618,0,6,6,72,104,180,0,0,0,3,8,6,0,0,0,200,184,383,0,0,0,5,7,16,5,4,9,0,5,6,5,0,3,0,0,0,3,4,9,0,0,0,19,12,29,0,0,0,0,0,0,22,27,47,6,11,15,0,0,0,339,355,693,7,3,10,5,0,12,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,279,308,586,4,0,3,3,0,5,287,306,593,43,39,82,674,720,1397
POA2900,42,70,113,131,208,342,0,0,0,15,18,30,0,0,0,330,421,745,0,0,0,20,27,45,8,17,24,0,0,0,8,17,21,0,0,0,10,12,20,7,20,29,21,37,60,9,8,16,0,0,0,25,47,74,52,56,107,0,5,5,643,880,1525,205,186,388,55,53,112,0,0,0,0,0,0,22,13,36,7,10,13,29,22,57,876,801,1678,18,13,33,0,4,10,897,819,1715,149,124,269,2024,2153,4177
POA2902,100,132,235,686,816,1498,0,0,0,55,63,125,0,0,0,1718,1883,3605,9,14,15,83,97,181,15,24,37,0,8,13,35,50,85,14,14,30,40,42,80,73,82,149,103,146,245,8,9,11,14,11,23,141,173,314,162,219,377,0,3,10,3152,3649,6802,151,122,272,133,130,261,4,3,8,0,0,0,38,30,69,18,28,46,57,62,116,3694,3343,7039,40,37,72,10,22,30,3743,3400,7141,442,390,837,7780,7886,15670
POA2903,78,126,201,424,520,950,0,0,0,37,51,96,0,0,0,1064,1106,2168,7,5,14,60,63,124,7,7,16,7,5,11,24,21,49,10,11,20,24,22,47,42,43,80,84,95,181,15,12,25,5,10,14,62,103,174,149,179,326,3,0,3,2030,2259,4295,121,100,221,115,99,206,6,11,16,0,0,0,23,21,44,15,21,37,38,41,81,2184,1873,4061,16,12,36,10,9,21,2220,1898,4117,231,214,452,4837,4750,9588
POA2904,95,122,219,689,840,1528,0,0,0,53,61,112,0,0,0,1595,1826,3418,5,4,5,110,109,219,19,15,33,3,3,8,38,33,76,11,4,18,19,45,62,56,66,123,98,124,222,10,10,21,13,22,30,103,180,289,156,182,330,4,0,5,2979,3523,6506,120,112,234,170,165,331,3,8,10,0,3,3,38,35,69,12,30,41,53,63,115,2684,2511,5195,24,24,49,5,12,16,2715,2543,5259,265,256,521,6407,6790,13196
POA2905,257,345,601,1328,1646,2974,0,0,0,104,121,232,0,3,3,3186,3728,6917,15,12,25,201,201,399,15,28,43,40,44,86,73,88,156,18,16,31,69,83,154,134,152,282,230,276,510,32,47,84,28,35,62,188,267,449,346,372,715,9,7,15,6013,7112,13129,306,260,558,374,357,728,7,9,16,0,3,3,93,82,172,38,68,103,132,154,289,6260,5667,11926,56,38,95,16,34,48,6330,5740,12074,717,620,1341,14144,14593,28731
POA2906,190,229,415,925,1112,2040,0,0,0,73,88,162,3,7,6,2059,2325,4381,4,6,10,97,91,189,8,21,29,14,19,31,23,39,62,19,25,45,25,23,47,116,124,244,111,148,258,27,21,50,25,24,47,119,160,275,195,258,448,0,0,3,3844,4483,8321,142,155,297,207,212,426,12,4,21,0,0,0,78,64,145,24,49,70,101,112,216,3934,3618,7552,34,19,58,12,22,32,3985,3662,7642,384,391,777,8858,9245,18107
POA2911,66,79,145,120,192,306,0,0,0,15,28,34,0,0,0,452,544,994,0,0,0,51,41,91,10,10,11,0,3,6,8,13,17,13,9,18,8,9,16,15,28,45,24,28,48,0,0,0,11,15,25,32,34,66,49,52,105,0,3,9,800,1001,1803,210,203,419,172,163,330,0,4,4,0,0,0,20,25,48,4,6,8,27,30,60,974,877,1853,4,12,13,3,0,5,986,886,1870,89,87,183,2351,2459,4804
POA2912,171,232,404,187,244,433,0,0,0,49,45,97,0,0,0,611,626,1240,0,5,3,46,55,104,4,9,16,4,3,8,8,6,11,9,18,24,25,23,47,47,59,101,38,65,108,0,5,5,3,0,6,66,78,150,117,140,255,0,4,9,1228,1388,2612,498,420,916,297,234,531,5,11,14,0,0,0,77,78,156,23,15,40,101,95,198,1765,1640,3403,19,10,25,8,7,9,1783,1662,3443,260,223,480,4342,4264,8604
POA2913,683,830,1513,1325,1640,2969,0,0,0,174,205,378,0,0,0,3506,3891,7393,8,4,17,324,361,683,31,23,58,41,30,65,66,103,171,57,62,114,108,155,259,249,273,523,284,277,558,11,20,34,27,36,63,271,381,650,516,560,1077,8,11,22,6997,8040,15035,1503,1354,2863,1119,958,2079,10,20,30,0,0,4,489,417,910,46,70,117,538,488,1031,7644,7235,14884,87,49,136,23,31,52,7754,7313,15069,961,813,1775,19571,19820,39396
POA2914,527,646,1170,1086,1269,2355,0,0,0,127,154,276,3,3,8,2968,3309,6276,4,3,6,226,251,477,39,44,85,24,29,51,42,54,99,100,102,199,96,88,181,237,245,485,201,237,439,22,23,43,32,51,87,208,287,493,471,556,1029,7,0,3,5891,6698,12591,1941,1779,3723,1279,1143,2417,6,10,21,3,4,7,466,398,863,49,60,100,516,463,973,6171,5687,11857,68,53,116,8,18,32,6251,5751,12000,881,792,1675,17290,17283,34576
