code,name,male couples,female couples,opposite-sex couples,total couples
SAL10099,Ashfield (NSW),99,75,4508,4686
SAL10100,Ashford (NSW),0,0,140,140
SAL10101,Ashley,0,0,69,67
SAL10102,Ashmont,0,3,546,553
SAL10103,Ashtonfield,4,10,1118,1127
SAL10104,Asquith,6,10,1514,1532
SAL10105,Atholwood,0,0,18,18
SAL10106,Attunga,0,3,127,130
SAL10107,Auburn (NSW),30,27,6997,7050
SAL10108,Auburn Vale,0,0,40,40
SAL10109,Austinmer,4,8,675,685
SAL10110,Austral,10,11,1512,1531
SAL10111,Austral Eden,0,0,35,34
SAL10112,Avalon Beach,13,8,2521,2539
SAL10113,Avisford,0,0,12,12
SAL10114,Avoca (NSW),0,0,49,55
SAL10115,Avoca Beach,6,4,1105,1116
SAL10116,Avon (NSW),0,0,0,0
SAL10117,Avondale (NSW),3,3,381,389
SAL10118,Avonside,0,0,43,43
SAL10119,Awaba,3,0,100,99
SAL10120,Aylmerton,4,0,45,50
SAL10121,Baan Baa,0,0,35,35
SAL10122,Babinda (NSW),0,0,6,6
SAL10123,Babyl Creek,0,0,0,0
SAL10124,Back Creek (Bland - NSW),0,0,10,10
SAL10125,Back Creek (Gwydir - NSW),0,0,8,8
SAL10126,Back Creek (Mid-Coast - NSW),0,0,4,4
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),0,0,4,4
SAL10128,Back Creek (Tenterfield - NSW),0,0,0,0
SAL10129,Back Creek (Tweed - NSW),0,0,3,3
SAL10130,Back Forest,0,0,25,25
SAL10131,Backmede,0,0,40,40
SAL10132,Backwater,0,0,3,3
SAL10133,Badgerys Creek,0,0,33,33
SAL10134,Badja,0,0,4,4
SAL10135,Baerami,0,0,22,22
SAL10136,Baerami Creek,0,0,5,5
SAL10137,Bagnoo,0,0,9,9
SAL10138,Bago,0,0,8,8
SAL10139,Bagotville,0,0,11,11
SAL10140,Bakers Creek (Mid-Coast - NSW),0,0,12,12
SAL10141,Bakers Creek (Nambucca Valley - NSW),0,0,3,3
SAL10142,Bakers Creek (Uralla - NSW),0,0,4,4
SAL10143,Bakers Swamp,0,0,17,17
SAL10144,Balaclava (NSW),0,0,133,136
SAL10145,Balala,0,0,34,35
SAL10146,Balcolyn,0,5,239,245
SAL10147,Bald Blair,0,0,11,11
SAL10148,Bald Hills (NSW),0,0,95,95
SAL10149,Bald Nob,0,0,6,6
SAL10150,Bald Ridge,0,0,0,0
SAL10151,Baldersleigh,0,0,20,20
SAL10152,Baldry,0,0,17,17
SAL10153,Balfours Peak,0,0,9,9
SAL10154,Balgowlah,10,12,1904,1929
SAL10155,Balgowlah Heights,0,0,883,881
SAL10156,Balgownie,3,4,1349,1351
SAL10157,Balickera,0,0,6,6
SAL10158,Balladoran,0,0,31,31
SAL10159,Ballalaba,0,0,3,3
SAL10160,Balldale,0,0,26,26
SAL10161,Ballengarra,0,0,23,23
SAL10162,Ballimore,0,0,50,50
SAL10163,Ballina,7,23,1792,1820
SAL10164,Ballyroe,0,0,0,0
SAL10165,Balmain,44,46,2366,2454
SAL10166,Balmain East,8,8,441,453
SAL10167,Balmoral (Lake Macquarie - NSW),0,0,202,202
SAL10168,Balmoral (Wingecarribee - NSW),0,0,127,128
SAL10169,Balranald,0,0,243,244
SAL10170,Bamarang,0,0,13,13
SAL10171,Banda Banda,0,0,0,0
SAL10172,Bandon Grove,0,0,34,34
SAL10173,Bangadang,0,0,3,3
SAL10174,Bangalee (NSW),0,0,215,216
SAL10175,Bangalow,7,6,591,597
SAL10176,Bangheet,0,0,13,13
SAL10177,Bango,0,0,29,35
SAL10178,Bangor (NSW),0,5,1415,1423
SAL10179,Banksia,10,4,707,719
SAL10180,Banksmeadow,3,0,108,109
SAL10181,Bankstown,30,23,6440,6494
SAL10182,Bankstown Aerodrome,0,0,0,0
SAL10183,Bannaby,0,0,11,11
SAL10184,Bannister (NSW),0,0,43,43
SAL10185,Banoon,0,0,7,7
SAL10186,Banora Point,16,22,3697,3738
SAL10187,Banyabba,0,0,4,4
SAL10188,Bar Beach,0,4,269,268
SAL10189,Bar Point,0,0,21,22
SAL10190,Bara,0,0,4,4
SAL10191,Baradine,0,0,146,146
SAL10192,Barangaroo,3,0,53,53
SAL10193,Barcoongere,0,0,0,0
SAL10194,Barden Ridge,4,3,1053,1060
SAL10195,Bardia,6,3,1309,1308
SAL10196,Bardwell Park,7,12,555,573
SAL10197,Bardwell Valley,5,6,526,533
SAL10198,Barellan,0,0,97,97
SAL10199,Bargo,3,6,1051,1054
SAL10200,Barham,0,4,364,365
SAL10201,Barigan,0,0,0,0
SAL10202,Barkers Vale,0,0,43,43
SAL10203,Barmedman,0,0,85,85
SAL10204,Barneys Reef,0,0,0,0
SAL10205,Barnsley,0,3,415,424
SAL10206,Barooga,0,0,466,465
SAL10207,Barraba,3,0,267,268
SAL10208,Barrack Heights,5,6,1245,1252
SAL10209,Barrack Point,0,0,170,170
SAL10210,Barraganyatti,0,0,34,34
SAL10211,Barragga Bay,0,0,27,27
SAL10212,Barratta (NSW),0,0,0,0
SAL10213,Barren Grounds,0,0,0,0
SAL10214,Barrengarry,0,0,54,55
SAL10215,Barretts Creek,0,0,3,3
SAL10216,Barringella,0,0,9,9
SAL10217,Barrington (NSW),0,0,100,100
SAL10218,Barrington Tops,0,0,0,0
SAL10219,Barry (Blayney - NSW),0,0,34,34
SAL10220,Barry (Tamworth Regional - NSW),0,0,0,0
SAL10221,Barwang,0,0,29,29
SAL10222,Baryulgil,0,0,3,3
SAL10223,Basin View,0,0,359,364
SAL10224,Bass Hill,0,8,1827,1836
SAL10225,Bassendean (NSW),0,0,0,0
SAL10226,Batar Creek,0,0,19,19
SAL10227,Bateau Bay,0,20,2681,2702
SAL10228,Batehaven,3,4,387,388
SAL10229,Batemans Bay,0,0,248,251
SAL10230,Bathampton,0,0,5,11
SAL10231,Bathurst,15,24,1171,1213
SAL10232,Batlow,0,0,281,279
SAL10233,Baulkham Hills,20,18,9249,9295
SAL10234,Baw Baw (NSW),0,0,68,68
SAL10235,Bawley Point,0,3,216,219
SAL10236,Baxters Ridge,0,0,0,0
SAL10237,Bayview (NSW),4,3,950,957
SAL10238,Beacon Hill,0,10,1870,1880
SAL10239,Beaconsfield (NSW),17,5,250,274
SAL10240,Bean Creek,0,0,14,14
SAL10241,Bearbong,0,0,16,16
SAL10242,Beaumont (NSW),0,0,36,39
SAL10243,Beaumont Hills,7,6,2264,2281
SAL10244,Beckom,0,0,32,32
SAL10245,Bective,0,0,57,57
SAL10246,Bectric,0,0,11,11
SAL10247,Bedgerabong,0,0,26,26
SAL10248,Beechwood,0,3,213,221
SAL10249,Beecroft,8,4,2629,2644
SAL10250,Beecroft Peninsula,0,0,0,0
SAL10251,Beelbangera,0,0,78,78
SAL10252,Beemunnel,0,0,6,6
SAL10253,Bega,4,7,985,1000
SAL10254,Beggan Beggan,0,0,30,30
SAL10255,Belanglo,0,0,6,6
SAL10256,Belbora,0,0,32,31
SAL10257,Belfield,4,5,1369,1373
SAL10258,Belford,0,0,44,44
SAL10259,Belfrayden,0,0,5,4
SAL10260,Belgravia,0,0,26,26
SAL10261,Belimbla Park,0,0,135,135
SAL10262,Bell (NSW),0,0,7,7
SAL10263,Bella Vista,3,0,2191,2195
SAL10264,Bellambi,5,7,671,687
SAL10265,Bellangry,0,0,35,35
SAL10266,Bellata,0,0,51,56
SAL10267,Bellawongarah,0,0,36,38
SAL10268,Bellbird,3,3,470,479
SAL10269,Bellbird Heights,0,0,177,180
SAL10270,Bellbrook,0,0,52,53
SAL10271,Bellevue Hill,36,12,2392,2438
SAL10272,Bellimbopinni,0,0,17,14
SAL10273,Bellingen,7,22,708,736
SAL10274,Bellmount Forest,0,0,25,25
SAL10275,Belltrees,0,0,10,10
SAL10276,Belmont (NSW),6,10,1597,1607
SAL10277,Belmont North,5,9,1444,1459
SAL10278,Belmont South,0,0,233,233
SAL10279,Belmore,23,12,2563,2600
SAL10280,Belmore River,0,0,66,66
SAL10281,Beloka,0,0,8,8
SAL10282,Belowra,0,0,0,0
SAL10283,Belrose,3,7,2095,2111
SAL10284,Bemboka,0,0,127,127
SAL10285,Ben Bullen,0,0,24,24
SAL10286,Ben Lomond (NSW),0,0,32,32
SAL10287,Benandarah,0,0,35,34
SAL10288,Bendalong,0,0,30,34
SAL10289,Bendemeer,0,0,110,110
SAL10290,Bendick Murrell,0,0,40,40
SAL10291,Bendolba,0,0,54,61
SAL10292,Bendoura,0,0,29,29
SAL10293,Benerembah,0,0,22,22
SAL10294,Bengalla,0,0,3,3
SAL10295,Bennetts Green,0,0,0,0
SAL10296,Benolong,0,0,17,17
SAL10297,Bensville,0,6,641,645
SAL10298,Bentley (NSW),0,0,58,59
SAL10299,Berala,9,4,1698,1711
SAL10300,Berambing,0,0,28,28
SAL10301,Beresfield,0,5,651,658
SAL10302,Bergalia,0,0,55,53
SAL10303,Berkeley,3,18,1485,1506
SAL10304,Berkeley Vale,0,23,1948,1969
SAL10305,Berkshire Park,0,0,237,237
SAL10306,Berlang,0,0,0,0
SAL10307,Bermagui,5,0,441,445
SAL10308,Berowra,0,0,1222,1219
SAL10309,Berowra Heights,6,0,1343,1354
SAL10310,Berowra Waters,0,0,37,41
SAL10311,Berrambool,0,0,105,110
SAL10312,Berrara,0,0,81,81
SAL10313,Berremangra,0,0,26,26
SAL10314,Berrico,0,0,6,6
SAL10315,Berridale,0,0,280,278
SAL10316,Berrigal,0,0,11,11
SAL10317,Berrigan,0,0,291,294
SAL10318,Berrilee,0,0,57,54
SAL10319,Berrima,4,0,206,215
SAL10320,Berringer Lake,0,0,4,4
SAL10321,Berry,4,10,810,822
SAL10322,Berry Jerry,0,0,18,23
SAL10323,Berry Mountain,0,0,9,9
SAL10324,Berry Park,0,0,56,57
SAL10325,Berthong,0,0,15,15
SAL10326,Beryl,0,0,38,38
SAL10327,Bethungra,0,0,36,36
SAL10328,Bevendale,0,0,6,6
SAL10329,Beverley Park,0,0,567,572
SAL10330,Beverly Hills,11,11,2301,2320
SAL10331,Bewong,0,0,21,21
SAL10332,Bexhill,0,0,125,131
SAL10333,Bexley,21,33,4166,4217
SAL10334,Bexley North,10,3,922,940
SAL10335,Biala,0,0,21,21
SAL10336,Bibbenluke,0,0,21,26
SAL10337,Biddon,0,0,29,29
SAL10338,Bidgeemia,0,0,13,13
SAL10339,Bidwill (NSW),0,3,484,489
SAL10340,Bielsdown Hills,0,0,31,26
SAL10341,Big Hill (NSW),0,0,17,15
SAL10342,Big Jacks Creek,0,0,16,16
SAL10343,Big Ridge,0,0,5,5
SAL10344,Big Springs,0,0,38,38
SAL10345,Bigga,0,0,62,62
SAL10346,Bilambil,0,0,108,108
SAL10347,Bilambil Heights,4,5,801,806
SAL10348,Bilbul,0,0,150,150
SAL10349,Bilgola Beach,0,0,72,72
SAL10350,Bilgola Plateau,7,3,972,985
SAL10351,Billeroy,0,0,7,7
SAL10352,Billilingra,0,0,3,3
SAL10353,Billimari,0,0,28,28
SAL10354,Billinudgel,0,0,45,41
SAL10355,Billys Creek,0,0,13,13
SAL10356,Billywillinga,0,0,50,56
SAL10357,Bilpin,0,0,153,157
SAL10358,Bimberi,0,0,0,0
SAL10359,Bimbi,0,0,18,18
SAL10360,Bimbimbie,0,0,30,30
SAL10361,Binalong,0,0,119,124
SAL10362,Binda,4,0,66,68
SAL10363,Bindera,0,0,11,11
SAL10364,Bingara,0,0,287,287
SAL10365,Bingeebeebra Creek,0,0,7,7
SAL10366,Bingie,0,0,56,60
SAL10367,Bingleburra,0,0,7,7
SAL10368,Biniguy,0,0,28,32
SAL10369,Binjura,0,0,81,81
SAL10370,Binna Burra (NSW),0,0,46,46
SAL10371,Binnaway,0,0,139,139
SAL10372,Binya,0,0,28,28
SAL10373,Birchgrove,17,14,810,841
SAL10374,Birdwood (NSW),0,0,7,7
SAL10375,Birganbigil,0,0,14,14
SAL10376,Birmingham Gardens,6,3,373,390
SAL10377,Birriwa,0,0,13,13
SAL10378,Birrong,4,4,638,645
SAL10379,Bishops Bridge,0,0,54,54
SAL10380,Bithramere,0,0,41,41
SAL10381,Black Creek (Port Macquarie-Hastings - NSW),0,0,10,14
SAL10382,Black Creek (Snowy Valleys - NSW),0,0,6,6
SAL10383,Black Head,4,0,272,279
SAL10384,Black Hill (NSW),0,0,132,132
SAL10385,Black Hollow,0,0,3,3
SAL10386,Black Mountain (NSW),0,0,76,76
SAL10387,Black Range (NSW),0,0,53,53
SAL10388,Black Springs (NSW),0,0,46,46
SAL10389,Blackalls Park,0,3,624,627
SAL10390,Blackbutt (NSW),0,3,791,799
SAL10391,Blackett,5,0,482,486
SAL10392,Blackheath,38,13,994,1045
SAL10393,Blackmans Flat,0,0,4,4
SAL10394,Blackmans Point,0,0,31,31
SAL10395,Blacksmiths,0,0,408,406
SAL10396,Blacktown,46,61,10357,10466
SAL10397,Blackville,0,0,25,25
SAL10398,Blackwall (NSW),0,9,395,402
SAL10399,Blair Athol (NSW),6,0,622,628
SAL10400,Blairmount,0,0,71,71
SAL10401,Blakebrook,0,0,38,38
SAL10402,Blakehurst,0,0,1535,1543
SAL10403,Blakney Creek,0,0,19,19
SAL10404,Bland,0,0,11,11
SAL10405,Blandford,0,0,49,48
SAL10406,Blaxland (NSW),5,13,1810,1831
SAL10407,Blaxlands Creek,0,0,25,25
SAL10408,Blaxlands Ridge,0,0,148,148
SAL10409,Blayney,0,10,739,749
SAL10410,Bligh Park,3,8,1365,1376
SAL10411,Blighty,0,0,40,43
SAL10412,Blowering,0,0,0,0
SAL10413,Blue Bay,0,0,217,223
SAL10414,Blue Haven,10,13,1329,1352
SAL10415,Blue Knob,0,0,26,26
SAL10416,Blue Mountains National Park,0,0,0,0
SAL10417,Blue Nobby,0,0,8,8
SAL10418,Blue Vale,0,0,19,16
SAL10419,Blueys Beach,0,0,64,64
SAL10420,Boambee,0,3,445,451
SAL10421,Boambee East,3,7,1185,1197
SAL10422,Boambolo,0,0,18,16
SAL10423,Boat Harbour (Lismore - NSW),0,0,4,4
SAL10424,Boat Harbour (Port Stephens - NSW),0,4,256,260
SAL10425,Bobadah,0,0,10,10
SAL10426,Bobin,0,0,44,44
SAL10427,Bobs Creek,0,0,25,22
SAL10428,Bobs Farm,0,0,169,169
SAL10429,Bobundara,0,0,9,9
SAL10430,Boco,0,0,5,5
SAL10431,Bocoble,0,0,32,33
SAL10432,Bocobra,0,0,16,16
SAL10433,Bodalla,0,0,189,193
SAL10434,Bodangora,0,0,16,16
SAL10435,Boeill Creek,0,0,22,22
SAL10436,Bogan,0,0,10,10
SAL10437,Bogan Gate,0,0,52,52
SAL10438,Bogangar,3,3,704,711
SAL10439,Bogee,0,0,12,12
SAL10440,Boggabilla,0,0,110,116
SAL10441,Boggabri,0,0,236,237
SAL10442,Bogong Peaks Wilderness,0,0,0,0
SAL10443,Bohena Creek,0,0,43,39
SAL10444,Bohnock,0,0,22,22
SAL10445,Bolaro,0,0,8,8
SAL10446,Bolivia,0,0,23,23
SAL10447,Bolong,0,0,18,18
SAL10448,Bolton Point,0,3,403,409
SAL10449,Bolwarra (NSW),0,3,336,344
SAL10450,Bolwarra Heights,3,6,850,858
SAL10451,Bom Bom,0,0,0,0
SAL10452,Bomaderry,7,11,1337,1359
SAL10453,Bombah Point,0,0,3,3
SAL10454,Bombala,0,4,287,292
SAL10455,Bombay,0,0,34,33
SAL10456,Bombira,0,0,139,139
SAL10457,Bombo,0,0,47,47
SAL10458,Bombowlee,0,0,77,77
SAL10459,Bombowlee Creek,0,0,12,12
SAL10460,Bomen,0,0,8,8
SAL10461,Bonalbo,0,0,67,67
SAL10462,Bondi,33,20,2055,2114
SAL10463,Bondi Beach,47,18,2188,2256
SAL10464,Bondi Forest,0,0,0,0
SAL10465,Bondi Junction,43,16,2108,2159
SAL10466,Bonnells Bay,4,9,933,941
SAL10467,Bonnet Bay,5,0,626,635
SAL10468,Bonny Hills,0,11,788,793
SAL10469,Bonnyrigg,13,4,1758,1772
SAL10470,Bonnyrigg Heights,0,7,1531,1535
SAL10471,Bonshaw (NSW),0,0,30,30
SAL10472,Bonville,3,0,755,764
SAL10473,Booerie Creek,0,0,32,29
SAL10474,Book Book,0,0,25,25
SAL10475,Booker Bay,0,4,339,339
SAL10476,Bookham,0,0,37,37
SAL10477,Bookookoorara,0,0,0,0
SAL10478,Bookram,0,0,0,0
SAL10479,Boolambayte,0,0,18,18
SAL10480,Boolaroo,3,0,342,351
SAL10481,Boolcarroll,0,0,6,6
SAL10482,Booligal,0,0,26,26
SAL10483,Boolijah,0,0,0,0
SAL10484,Boomanoomana,0,0,28,27
SAL10485,Boomerang Beach,0,0,90,93
SAL10486,Boomey,0,0,22,22
SAL10487,Boomi,0,0,31,31
SAL10488,Boomi Creek,0,0,9,9
SAL10489,Boona Mount,0,0,12,12
SAL10490,Boonal,0,0,12,12
SAL10491,Boonoo Boonoo,0,0,0,0
SAL10492,Boorabee Park,0,0,39,36
SAL10493,Booragul,0,0,282,282
SAL10494,Booral (NSW),0,0,107,107
SAL10495,Boorga,0,0,9,9
SAL10496,Boorganna,0,0,0,0
SAL10497,Boorolong,0,0,22,22
SAL10498,Boorook,0,0,5,5
SAL10499,Boorooma,3,13,376,389
SAL10500,Booroorban,0,0,13,13
SAL10501,Boorowa,0,3,393,393
SAL10502,Bootawa,0,0,51,51
SAL10503,Booti Booti,0,0,0,0
SAL10504,Booyong,0,0,22,22
SAL10505,Bora Ridge,0,0,22,22
SAL10506,Borah Creek,0,0,4,4
SAL10507,Borambola,0,0,27,27
SAL10508,Border Ranges,0,0,0,0
SAL10509,Boree,0,0,30,30
SAL10510,Boree Creek,0,0,55,55
SAL10511,Borenore,0,0,136,136
SAL10512,Boro,0,0,29,28
SAL10513,Bossley Park,11,3,3283,3295
SAL10514,Bostobrick,0,0,30,30
SAL10515,Botany,48,26,2870,2944
SAL10516,Botobolar,0,0,26,26
SAL10517,Bottle Creek,0,0,8,8
SAL10518,Bouddi,0,0,0,0
SAL10519,Bourbah,0,0,7,7
SAL10520,Bourke,0,0,273,279
SAL10521,Bourkelands,0,0,751,757
SAL10522,Bournda,0,0,30,30
SAL10523,Bournewood,0,0,13,13
SAL10524,Bow Bowing,0,0,357,358
SAL10525,Bowan Park,0,0,31,31
SAL10526,Bowen Mountain,0,5,379,387
SAL10527,Bowenfels,0,0,310,311
SAL10528,Bowling Alley Point,0,0,3,3
SAL10529,Bowman,0,0,35,35
SAL10530,Bowman Farm,0,0,11,11
SAL10531,Bowmans Creek,0,0,6,6
SAL10532,Bowna,0,0,29,33
SAL10533,Bowning,0,4,149,151
SAL10534,Bowral,29,12,2634,2671
SAL10535,Bowraville,0,0,179,179
SAL10536,Box Head,0,0,0,0
SAL10537,Box Hill (NSW),11,15,1651,1676
SAL10538,Boxers Creek,0,0,60,60
SAL10539,Boydtown,0,0,18,18
SAL10540,Bradbury (NSW),10,16,1822,1838
SAL10541,Braefield,0,0,14,14
SAL10542,Braemar,4,0,220,225
SAL10543,Braemar Bay,0,0,0,0
SAL10544,Braidwood,0,4,384,387
SAL10545,Brandy Hill,0,0,201,202
SAL10546,Branxton,0,0,569,572
SAL10547,Braunstone,0,0,71,71
SAL10548,Brawboy,0,0,4,4
SAL10549,Bray Park (NSW),0,0,145,147
SAL10550,Brays Creek,0,0,28,27
SAL10551,Brayton,0,0,51,51
SAL10552,Breadalbane (NSW),0,0,33,26
SAL10553,Breakfast Creek,0,0,15,15
SAL10554,Breakfast Point,15,14,1289,1317
SAL10555,Bream Beach,0,0,0,0
SAL10556,Bredbo,0,0,97,100
SAL10557,Breelong,0,0,22,22
SAL10558,Breeza,0,0,26,26
SAL10559,Bretti,0,0,7,7
SAL10560,Brewarrina,0,0,110,110
SAL10561,Brewongle,0,0,42,42
SAL10562,Briarbrook,0,0,0,0
SAL10563,Bribbaree,0,0,34,34
SAL10564,Bridgman,0,0,62,62
SAL10565,Brierfield,0,0,81,84
SAL10566,Brighton-Le-Sands,15,8,1661,1687
SAL10567,Brightwaters,0,0,221,225
SAL10568,Bril Bril,0,0,0,0
SAL10569,Brimbin,0,0,21,21
SAL10570,Brindabella,0,0,4,4
SAL10571,Brinerville,0,0,0,0
SAL10572,Bringelly,5,4,546,551
SAL10573,Bringenbrong,0,0,11,11
SAL10574,Brisbane Grove,0,0,37,37
SAL10575,Broadmeadow,3,9,314,329
SAL10576,Broadwater (Bega Valley - NSW),0,0,34,34
SAL10577,Broadwater (Richmond Valley - NSW),0,0,135,137
SAL10578,Broadway,0,0,10,10
SAL10579,Brobenah,0,0,4,4
SAL10580,Brocklehurst,0,0,68,68
SAL10581,Brocklesby,0,0,39,39
SAL10582,Brockley,0,0,9,9
SAL10583,Brodies Plains,0,0,15,15
SAL10584,Brogans Creek,0,0,3,3
SAL10585,Brogers Creek,0,0,14,14
SAL10586,Brogo,4,4,131,140
SAL10587,Broke (NSW),0,0,132,138
SAL10588,Broken Head,0,0,75,79
SAL10589,Broken Hill,10,21,3349,3378
SAL10590,Brombin,0,0,30,30
SAL10591,Bronte,21,18,1560,1598
SAL10592,Brookdale (NSW),0,0,11,11
SAL10593,Brookfield (NSW),0,0,54,56
SAL10594,Brooklana,0,0,8,8
SAL10595,Brooklet,5,4,63,67
SAL10596,Brooklyn (NSW),0,0,179,179
SAL10597,Brookong,0,0,4,4
SAL10598,Brookvale,4,11,714,725
SAL10599,Brooman,0,0,6,6
SAL10600,Brooms Head,0,0,55,55
SAL10601,Broughams Gate,0,0,12,12
SAL10602,Broughton (NSW),0,0,23,24
SAL10603,Broughton Vale,0,0,53,53
SAL10604,Broughton Village,0,0,32,32
SAL10605,Broulee,0,0,433,434
SAL10606,Brownlow Hill,0,0,81,81
SAL10607,Browns Creek,0,0,35,35
SAL10608,Browns Mountain,0,0,8,4
SAL10609,Brownsville,4,0,110,110
SAL10610,Brucedale,0,0,45,45
SAL10611,Bruie Plains,0,0,4,4
SAL10612,Bruinbun,0,0,4,4
SAL10613,Brumby Plains,0,0,0,0
SAL10614,Brundee,3,0,14,17
SAL10615,Brungle,0,0,29,29
SAL10616,Brungle Creek,0,0,8,8
SAL10617,Brunkerville,0,0,57,60
SAL10618,Brunswick Heads,8,13,322,344
SAL10619,Brushgrove,0,0,40,40
SAL10620,Brushy Creek,0,0,9,9
SAL10621,Buangla,0,0,0,0
SAL10622,Bucca (NSW),0,0,139,139
SAL10623,Bucca Wauka,0,0,21,21
SAL10624,Buccarumbi,0,0,0,0
SAL10625,Buchanan (NSW),0,0,44,44
SAL10626,Buckajo,0,0,79,83
SAL10627,Buckaroo,0,0,45,45
SAL10628,Buckenbowra,0,0,5,5
SAL10629,Buckenderra,0,0,3,3
SAL10630,Buckendoon,0,0,8,8
SAL10631,Bucketty,0,0,41,46
SAL10632,Buckra Bendinni,0,0,32,31
SAL10633,Budawang,0,0,5,5
SAL10634,Buddabadah,0,0,10,10
SAL10635,Budden,0,0,3,3
SAL10636,Budderoo,0,0,0,0
SAL10637,Buddong,0,0,0,0
SAL10638,Budgee Budgee (NSW),0,0,70,70
SAL10639,Budgewoi,0,7,672,688
SAL10640,Budgewoi Peninsula,0,0,0,0
SAL10641,Budgong,0,0,23,31
SAL10642,Buff Point,5,10,770,782
SAL10643,Bugaldie,0,0,37,37
SAL10644,Bukalong,0,0,5,5
SAL10645,Bukkulla,0,0,35,35
SAL10646,Bulahdelah,0,0,327,332
SAL10647,Bulee,0,0,0,0
SAL10648,Bulga (NSW),0,0,87,88
SAL10649,Bulga Forest,0,0,0,0
SAL10650,Bulgary,0,0,3,3
