SAL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,4,4,16,8,3,5,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,3,0,0,21,0,3,0,0,3,0,3,3,0,19,197,430,133,129,141,37,29,45,17,1148
SAL80118,0,0,12,3,7,5,0,3,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,14,0,3,0,4,0,3,0,0,0,15,173,304,130,100,151,31,13,23,11,940
SAL80119,8,0,3,7,5,5,0,3,0,26,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,18,3,7,5,3,0,0,0,0,3,21,158,273,56,71,84,26,7,17,14,703
SAL80120,0,5,0,3,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,5,0,0,0,0,6,47,112,47,56,54,17,10,21,13,370
SAL80121,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,5,12,14,20,16,10,4,9,15,4,104
SAL80122,7,4,16,8,5,0,3,3,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,14,3,4,0,8,0,0,3,0,3,22,138,285,105,150,149,56,35,31,28,980
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,4,3,0,0,0,0,36
SAL80124,7,9,23,12,15,6,9,9,0,78,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,22,3,0,6,0,5,0,0,0,4,27,254,404,210,164,244,48,40,41,41,1440
SAL80125,0,4,13,7,6,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,7,3,3,0,3,0,0,0,21,6,4,3,0,0,0,0,0,11,29,171,419,113,120,152,42,11,25,26,1073
SAL80126,0,0,24,6,5,3,4,4,0,39,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,17,0,4,0,0,0,0,0,0,0,8,200,391,96,55,148,26,12,18,17,950
SAL80127,6,6,21,5,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,6,16,0,0,14,0,0,0,3,42,6,6,0,4,3,0,0,0,3,28,534,1277,98,120,317,77,12,49,58,2538
SAL80128,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,45,25,11,20,3,0,10,4,140
SAL80129,19,6,22,17,18,7,4,7,0,95,0,0,0,0,0,0,0,0,0,0,7,9,0,4,12,0,0,3,0,46,3,4,8,9,12,8,6,7,9,64,525,1046,296,264,444,97,72,95,63,2894
SAL80130,5,0,10,4,9,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,0,18,3,3,0,0,0,0,0,0,0,17,270,401,87,100,117,35,18,27,13,1059
SAL80131,5,4,22,7,13,7,0,0,0,63,0,0,0,0,0,0,0,0,0,7,21,19,3,5,10,5,0,7,0,60,3,6,9,6,7,6,0,5,4,45,727,1397,232,243,336,100,30,138,63,3272
SAL80132,3,0,12,9,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,5,4,0,3,6,3,0,0,0,19,3,4,4,0,3,0,0,0,0,14,279,462,76,86,144,34,17,17,19,1138
SAL80133,4,9,10,3,9,3,0,0,0,30,0,0,0,0,0,0,0,0,0,4,5,11,9,0,8,0,0,0,3,36,0,4,0,0,0,0,0,6,5,13,373,636,116,84,206,38,14,24,28,1515
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,9,5,19,12,17,3,0,0,0,67,0,0,0,0,0,0,0,0,0,0,3,6,4,3,5,3,3,6,0,34,3,0,3,3,7,0,0,0,6,27,353,901,138,181,283,59,26,43,40,2024
SAL80136,0,0,0,0,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,0,0,26,6,3,0,0,5,0,0,0,0,14,330,563,43,57,137,37,7,13,33,1215
SAL89494,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
