SAL_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
SAL80011,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,0,3,0,0,0,0,0,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,0,3,0,0,0,0,0,4,8,11
SAL80012,0,0,0,0,0,5,5,13,3,0,3,5,0,0,9,0,6,38,0,66,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,13,3,0,3,5,0,0,11,0,8,38,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,3,5,0,0,9,0,6,32,0,56,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,10,3,0,3,5,0,0,11,0,8,32,8,68
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,5,0,5,0,0,0,8,7,4,0,5,0,0,0,4,0,3,55,0,67,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,8,4,0,3,0,0,0,7,0,10,55,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,4,31,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,6,4,0,3,0,0,0,5,0,6,36,3,51
SAL80015,0,0,0,0,0,0,6,3,0,0,4,4,3,3,4,0,4,15,0,37,0,0,0,0,0,0,0,0,0,0,0,3,5,9,6,8,0,0,4,4,3,3,3,0,9,20,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,4,4,3,3,3,0,9,21,0,42,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,8,0,0,4,4,3,3,3,0,9,21,5,49
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,10,0,9,0,0,8,9,240,0,0,7,3,3,5,379,0,160,1649,20,2339,0,0,0,0,0,0,0,0,3,0,0,3,486,501,9,245,0,0,11,3,3,5,388,0,163,1655,511,2848,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,9,9,244,0,0,11,3,3,5,388,0,163,1630,19,2334,0,0,0,0,0,0,0,0,0,0,0,9,492,502,9,245,0,0,11,3,3,5,388,0,163,1655,515,2844
SAL80018,146,43,189,36,9,418,396,477,146,11,140,136,43,80,555,29,505,2867,132,4751,5,4,0,4,0,5,0,0,0,0,4,25,171,207,505,522,179,127,201,210,63,100,701,68,699,2927,313,5376,8,3,0,0,0,0,0,0,7,0,6,32,0,40,33,4,15,11,13,19,4,9,22,8,31,67,7,157,38,15,21,11,13,19,4,12,29,8,34,92,8,199,464,455,157,115,192,182,57,90,638,62,620,2096,118,4122,3,0,0,0,0,0,0,0,3,0,5,12,142,166,504,468,179,127,201,207,63,100,677,68,654,2203,265,4481
SAL80019,76,12,97,32,6,242,354,550,121,5,190,117,30,42,516,27,509,3768,150,5688,7,4,0,0,4,4,0,0,4,0,7,14,171,199,421,590,133,16,228,157,46,60,591,42,609,3811,322,6129,17,16,9,0,0,0,0,0,12,0,23,117,5,181,38,21,21,0,21,25,8,3,38,4,32,96,8,206,55,30,24,0,20,26,8,6,53,7,54,204,9,389,359,447,110,10,198,130,36,55,487,39,467,2503,106,4213,3,6,0,0,4,0,0,0,0,0,4,6,132,148,416,480,133,16,222,157,47,56,543,42,530,2721,246,4749
SAL80020,21,4,46,15,0,112,202,205,89,3,48,74,14,21,206,11,200,1562,65,2392,0,0,0,0,0,0,0,3,0,0,5,11,80,101,250,220,104,11,65,94,24,37,226,20,245,1582,142,2605,0,0,0,0,0,0,0,0,0,0,0,15,0,17,27,7,12,0,11,14,0,0,8,0,11,35,0,89,25,6,12,0,11,11,0,0,11,0,11,49,0,107,222,176,89,11,62,82,17,27,196,20,204,1126,51,1924,0,0,0,0,0,0,0,0,0,0,0,3,62,66,250,184,104,11,65,94,19,36,210,20,215,1182,116,2095
SAL80021,77,12,112,32,6,230,335,465,97,6,199,110,45,44,512,29,412,3018,122,4714,0,0,0,0,0,0,0,0,4,0,0,14,130,152,399,505,122,9,245,147,58,65,593,43,525,3065,258,5100,4,3,4,0,0,0,0,0,0,0,3,33,0,51,25,13,21,3,18,18,9,3,23,3,25,93,0,197,27,18,23,3,23,20,9,3,24,3,23,131,3,247,367,408,101,4,211,122,48,59,522,39,443,2064,94,3665,3,0,0,0,6,6,0,0,0,0,0,14,98,110,396,428,120,9,233,142,58,66,548,43,468,2208,194,4019
SAL80022,8,0,17,0,0,35,103,141,46,0,51,49,19,8,162,8,155,1100,31,1672,0,0,4,0,0,0,0,0,0,0,0,9,229,236,117,143,58,3,53,56,20,9,177,11,165,1112,254,1946,9,4,0,0,0,3,0,0,7,0,5,74,3,98,5,6,3,0,9,9,0,3,11,3,13,49,0,92,17,13,3,0,9,10,0,3,13,3,20,126,6,193,95,125,51,3,41,42,15,7,157,9,147,876,29,1410,0,0,0,0,0,0,0,0,0,0,0,0,210,208,117,137,58,3,53,56,20,9,173,11,163,1003,239,1806
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SAL80024,99,25,97,30,8,314,341,585,114,11,187,136,52,54,818,25,537,5631,137,7763,9,5,0,0,0,0,0,0,4,0,3,35,374,421,437,631,144,52,223,189,68,79,919,48,641,5695,519,8502,4,5,0,0,0,0,0,0,9,0,3,55,0,78,32,15,10,7,9,25,4,3,22,6,19,83,8,180,39,16,11,7,11,25,12,3,28,6,23,142,8,264,392,582,134,48,218,160,59,78,877,46,598,4894,120,7127,6,0,0,3,0,0,0,0,4,0,3,28,338,379,437,600,144,52,223,185,68,79,913,48,619,5062,470,7764
SAL80025,81,14,116,27,5,227,235,507,58,0,229,80,30,29,468,15,430,5070,154,6800,4,4,0,0,0,0,0,0,3,0,0,47,256,313,280,550,63,9,261,108,37,36,547,21,543,5139,416,7339,14,14,6,0,0,0,0,0,14,0,10,97,0,144,16,8,10,0,16,3,0,0,31,3,19,90,9,160,33,24,13,0,16,3,0,0,43,3,36,190,4,300,251,394,53,6,240,100,37,36,469,17,413,3178,94,4687,0,0,0,0,0,0,0,0,0,0,0,32,181,220,281,418,61,9,255,106,39,36,515,23,441,3396,285,5200
SAL80026,52,4,72,21,4,184,304,348,111,3,164,111,30,45,342,24,314,2221,77,3524,0,0,0,0,4,4,0,0,0,0,0,16,111,136,355,373,130,11,192,138,41,56,400,31,388,2260,194,3839,5,4,0,0,0,0,0,0,0,0,0,30,0,39,28,12,18,0,15,22,6,5,27,4,19,60,0,143,34,13,17,0,15,22,6,5,31,4,19,88,4,182,323,320,106,11,169,119,34,47,358,26,341,1556,63,2839,0,0,0,0,0,0,0,0,0,0,0,7,85,92,355,335,128,11,188,140,36,59,385,31,360,1655,148,3112
SAL80027,45,13,50,13,0,129,233,606,88,5,81,102,21,37,809,10,514,3890,133,5919,0,9,0,0,3,0,0,5,11,0,6,16,306,337,264,630,97,12,105,117,25,54,862,24,573,3918,440,6383,17,15,3,0,0,3,0,0,16,0,17,199,7,259,16,9,4,0,10,10,0,0,17,9,21,53,5,119,32,30,9,0,6,14,6,0,33,9,27,255,6,377,230,586,86,12,93,104,21,42,813,16,536,3366,118,5365,0,0,0,0,0,0,0,0,0,0,5,14,292,310,264,614,97,12,105,117,25,48,848,24,566,3633,418,6051
SAL80028,109,35,135,22,5,306,316,584,136,4,145,135,39,36,734,26,552,4830,119,6952,5,4,0,0,0,0,0,0,4,0,0,15,228,254,411,638,167,63,177,197,63,65,850,62,688,4871,349,7520,10,10,0,0,0,4,0,0,15,0,10,109,0,147,22,17,17,3,21,23,5,6,18,9,22,75,5,177,32,27,22,3,19,24,5,6,32,9,28,179,5,322,368,561,144,57,152,169,56,58,797,53,625,4000,97,6157,4,4,0,0,0,0,0,0,0,7,7,35,206,252,408,594,167,63,173,197,62,64,832,62,660,4214,307,6732
SAL80029,86,22,130,23,3,294,394,530,144,3,213,143,39,55,516,12,465,3253,173,5228,3,4,0,0,0,0,0,0,0,0,0,30,173,211,505,581,175,40,265,194,53,85,607,34,595,3297,350,5730,4,7,0,0,0,3,0,0,9,0,8,23,4,47,34,22,22,0,21,22,3,8,26,0,29,79,9,205,45,31,27,0,21,30,4,8,33,0,37,106,12,256,463,470,149,35,239,167,51,74,542,31,505,2283,114,4184,0,3,0,0,0,0,0,0,3,0,0,10,139,162,505,505,175,40,265,195,56,86,572,34,546,2399,271,4605
SAL80030,41,14,71,17,4,157,307,404,137,11,90,107,38,34,405,15,399,4233,138,5785,3,5,0,0,0,0,0,0,5,0,0,14,594,621,353,420,152,29,97,130,38,37,449,33,472,4267,734,6564,31,69,12,0,4,3,4,0,54,0,52,1381,37,1601,28,14,21,0,12,18,9,4,26,7,37,119,8,231,60,81,36,0,9,29,8,4,80,8,86,1499,41,1834,283,308,118,21,82,100,26,33,357,20,356,2162,79,3439,5,0,0,3,0,0,0,0,0,0,0,5,576,589,350,388,152,29,93,130,33,37,438,33,449,3669,699,5863
SAL80031,0,0,0,0,0,0,9,6,0,0,0,0,0,0,8,0,0,75,0,94,0,0,0,0,0,0,0,0,0,0,0,0,31,31,4,11,0,0,0,0,0,0,7,0,4,78,30,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,13,0,0,0,0,0,0,7,0,4,55,0,77,0,0,0,0,0,0,0,0,0,0,0,0,27,27,4,13,0,0,0,0,0,0,7,0,4,60,28,103
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3
SAL80033,56,6,79,20,5,174,242,483,72,0,176,86,29,37,524,11,430,4385,139,6071,0,4,0,0,0,0,0,0,0,0,0,41,180,225,274,516,83,5,202,99,38,47,580,20,509,4450,314,6471,14,6,0,0,0,0,0,0,13,0,12,95,6,143,22,17,7,0,16,17,3,0,22,0,29,80,0,168,38,21,13,0,19,11,3,0,39,0,44,177,5,311,235,402,74,0,180,82,30,40,504,20,399,2859,99,4347,0,0,0,0,0,0,0,0,0,0,0,26,119,144,276,420,80,5,194,95,38,46,541,20,439,3058,222,4797
SAL80034,27,6,56,14,4,149,279,230,105,0,109,102,26,28,184,21,236,1628,68,2644,3,0,0,0,0,3,0,3,0,0,0,12,60,79,328,243,127,21,128,122,35,42,215,32,292,1655,134,2867,0,0,0,0,0,0,0,0,0,0,5,11,0,23,31,9,13,0,23,22,4,0,3,9,23,61,5,138,31,15,13,0,23,22,4,4,5,9,28,68,5,152,293,194,112,21,109,110,34,36,194,26,236,1153,50,2131,0,0,0,0,0,0,0,0,0,0,0,5,61,65,328,209,128,21,130,122,35,39,201,32,263,1225,110,2348
